brand,model,year,fuel_type,transmission,owner_type,km_driven,seller_type,mileage,engine,seats,price,car_age,km_per_year,engine_per_seat
Hyundai,Grand I10,2016,Petrol,Manual,Third Owner,22402.0,Dealer,18.9,1197,5,445000.0,10,2240.2,239.4
Maruti,Alto 800,2019,Petrol,Manual,Second Owner,10344.0,Dealer,22.7,796,5,293000.0,7,1477.71,159.2
Tata,Safari,2021,Diesel,Manual,Second Owner,12999.0,Dealer,14.1,1956,7,2249000.0,5,2599.8,279.43
Maruti,Ciaz,2016,Petrol,Manual,Third Owner,45000.0,Dealer,20.7,1373,5,695000.0,10,4500.0,274.6
Jeep,Compass,2019,Petrol,Manual,Second Owner,11193.0,Dealer,14.9,1956,5,1200000.0,7,1599.0,391.2
Maruti,Eeco,2017,Petrol,Manual,Third Owner,42906.0,Dealer,16.1,1196,5,372000.0,9,4767.33,239.2
Hyundai,Creta,2017,Diesel,Automatic,Third Owner,66602.0,Dealer,16.8,1497,5,1150000.0,9,7400.22,299.4
Maruti,Ertiga,2019,Petrol,Automatic,Second Owner,13189.0,Dealer,19.0,1462,7,1039000.0,7,1884.14,208.86
Toyota,Etios Liva,2013,Petrol,Manual,Fourth & Above Owner,67815.0,Dealer,18.2,1197,5,375000.0,13,5216.54,239.4
Renault,Kwid,2018,Petrol,Automatic,Second Owner,19509.0,Dealer,22.0,999,5,425000.0,8,2438.62,199.8
Maruti,Ciaz,2017,Diesel,Manual,Third Owner,60000.0,Dealer,20.7,1498,5,675000.0,9,6666.67,299.6
Maruti,Alto 800,2019,Petrol,Manual,Second Owner,3583.0,Dealer,22.7,796,5,449000.0,7,511.86,159.2
Chevrolet,Optra,2007,Diesel + 1,Manual,Fourth & Above Owner,148000.0,Dealer,12.7,1991,5,300000.0,19,7789.47,398.2
Maruti,Vitara Brezza,2019,Diesel,Manual,Second Owner,48748.0,Dealer,17.0,1462,5,950000.0,7,6964.0,292.4
Jeep,Compass,2018,Diesel,Manual,Second Owner,38000.0,Dealer,14.9,1956,5,1325000.0,8,4750.0,391.2
Toyota,Corolla Altis,2016,Petrol,Automatic,Third Owner,36000.0,Dealer,14.3,1798,5,925000.0,10,3600.0,359.6
Hyundai,Elite I20,2017,Petrol,Manual,Third Owner,13747.0,Dealer,18.3,1197,5,675000.0,9,1527.44,239.4
Mercedes-Benz,EQC,2022,Electric,Automatic,First Owner,3200.0,Dealer,0.0,0,5,9500000.0,4,800.0,0.0
Hyundai,I10,2014,Petrol,Manual,Third Owner,41273.0,Dealer,19.8,1086,5,335000.0,12,3439.42,217.2
Hyundai,Creta,2016,Petrol,Manual,Third Owner,20142.0,Dealer,16.8,1497,5,988000.0,10,2014.2,299.4
Porsche,718,2020,Petrol,Automatic,Second Owner,6500.0,Dealer,9.0,1988,2,11500000.0,6,1083.33,994.0
Kia,Seltos,2019,Diesel,Manual,Second Owner,47103.0,Dealer,16.5,1497,5,1100000.0,7,6729.0,299.4
Maruti,Ciaz,2020,Petrol,Automatic,Second Owner,7755.0,Dealer,20.7,1373,5,990000.0,6,1292.5,274.6
Renault,Kwid,2019,Petrol,Manual,Second Owner,33513.0,Dealer,22.0,999,5,345000.0,7,4787.57,199.8
BMW,3 Series,2019,Diesel,Manual,Second Owner,24848.0,Dealer,16.1,1995,5,3749000.0,7,3549.71,399.0
Maruti,Baleno,2017,Petrol,Manual,Third Owner,34559.0,Dealer,21.4,1197,5,639000.0,9,3839.89,239.4
